source,target,type,URL
reservations_service_public.livestream_link_log,bi_fact_tables.livestream_schedules_v2,UNK,https://github.com/classpass/reservation-service/blob/cd30c5916888717e3458db5d490ce0904aad721b/dao/src/main/java/com/classpass/reservations/dao/LivestreamLinkLogDao.kt#L47
datapipeline.content_tags_summary,bi_fact_tables.livestream_schedules_v2,derived,https://github.com/classpass/analytics-db/blob/bfe45c28e92874f0159d646d2b92596b56f307da/derived/tags_rebuild/content_tags_summary.sql#L3

datapipeline.schedule_incremental_update,bi_fact_tables.schedules_venue_admin_status,derived,https://github.com/classpass/analytics-db/blob/c3440db29255684dbb955d61cc2cd3cdceb2f469/derived/partnerships/supply_health_rebuild/schedule_incremental_update.sql
datapipeline.admin_venue_toggle_log,bi_fact_tables.schedules_venue_admin_status,derived,https://github.com/classpass/analytics-db/blob/bfe45c28e92874f0159d646d2b92596b56f307da/derived/admin_venue_toggle_log.sql#L58


bi_fact_tables.schedules_venue_admin_status,datapipeline.schedules_venue_admin_status,derived,https://github.com/classpass/analytics-db/blob/c3440db29255684dbb955d61cc2cd3cdceb2f469/derived/partnerships/supply_health_rebuild/schedules_venue_admin_status.sql#L4

bi_fact_tables.admin_venue_toggle_audit,datapipeline.admin_venue_toggle_log,UNK,https://github.com/search?q=org%3Aclasspass%20admin_venue_toggle_audit&type=code
datapipeline.dates,datapipeline.admin_venue_toggle_log,UNK,https://github.com/search?q=org%3Aclasspass%20dates&type=code

lapi_classtivityprd.passport_venues,bi_fact_tables.admin_venue_toggle_audit,UNK,https://github.com/search?q=org%3Aclasspass%20passport_venues&type=code

bi_fact_tables.out_of_network_schedules,datapipeline.out_of_network_schedules,derived,https://github.com/classpass/analytics-db/blob/c3440db29255684dbb955d61cc2cd3cdceb2f469/derived/partnerships/out_of_network/out_of_network_schedules.sql#L1
datapipeline.schedule_incremental_update,bi_fact_tables.out_of_network_schedules,derived,https://github.com/classpass/analytics-db/blob/c3440db29255684dbb955d61cc2cd3cdceb2f469/derived/partnerships/supply_health_rebuild/schedule_incremental_update.sql
datapipeline.daily_out_of_network_venues,bi_fact_tables.out_of_network_schedules,derived,https://github.com/classpass/analytics-db/blob/bfe45c28e92874f0159d646d2b92596b56f307da/derived/partnerships/out_of_network/daily_out_of_network_venues.sql

datapipeline.partner_schedules_shell,datapipeline.daily_out_of_network_venues,derived,https://github.com/classpass/analytics-db/blob/bfe45c28e92874f0159d646d2b92596b56f307da/derived/partnerships/supply_health_rebuild/partner_schedules_shell.sql
datapipeline.out_of_network_venues,datapipeline.daily_out_of_network_venues,derived,https://github.com/classpass/analytics-db/blob/bfe45c28e92874f0159d646d2b92596b56f307da/derived/partnerships/out_of_network/out_of_network_venues.sql
datapipeline.admin_venue_toggle_log,datapipeline.daily_out_of_network_venues,derived,https://github.com/classpass/analytics-db/blob/bfe45c28e92874f0159d646d2b92596b56f307da/derived/admin_venue_toggle_log.sql#L58

datapipeline.passport_venues,datapipeline.partner_schedules_shell,UNK,https://github.com/search?q=org%3Aclasspass+passport_venues&type=code
datapipeline.dates,datapipeline.partner_schedules_shell,UNK,https://github.com/search?q=org%3Aclasspass%20dates&type=code

datapipeline.venue_oon_history,datapipeline.out_of_network_venues,derived,https://github.com/classpass/analytics-db/blob/bfe45c28e92874f0159d646d2b92596b56f307da/derived/partnerships/out_of_network/venue_oon_history.sql
lapi_classtivityprd.passport_venues,datapipeline.out_of_network_venues,UNK,https://github.com/search?q=org%3Aclasspass%20passport_venues&type=code
datapipeline.sfdc_venue_accounts_stg,datapipeline.out_of_network_venues,derived,https://github.com/classpass/analytics-db/blob/bfe45c28e92874f0159d646d2b92596b56f307da/derived/salesforce_rebuild/sfdc_venue_accounts_stg.sql
datapipeline.sfdc_venue_sales_opp_close_dates,datapipeline.out_of_network_venues,derived,https://github.com/classpass/analytics-db/blob/bfe45c28e92874f0159d646d2b92596b56f307da/derived/salesforce_rebuild/sfdc_venue_sales_opp_close_dates.sql
datapipeline.sfdc_venue_launch_dates,datapipeline.out_of_network_venues,derived,https://github.com/classpass/analytics-db/blob/bfe45c28e92874f0159d646d2b92596b56f307da/derived/salesforce_rebuild/sfdc_venue_launch_dates.sql
datapipeline.sfdc_venue_churn_history,datapipeline.out_of_network_venues,derived,https://github.com/classpass/analytics-db/blob/bfe45c28e92874f0159d646d2b92596b56f307da/derived/salesforce_rebuild/sfdc_venue_churn_history.sql
datapipeline.sfdc_prebuild_cases,datapipeline.out_of_network_venues,derived,https://github.com/classpass/analytics-db/blob/bfe45c28e92874f0159d646d2b92596b56f307da/derived/salesforce_rebuild/sfdc_prebuild_cases.sql
datapipeline.estimated_launch_dates_v2,datapipeline.out_of_network_venues,derived,https://github.com/classpass/analytics-db/blob/bfe45c28e92874f0159d646d2b92596b56f307da/derived/partnerships/supply_health_rebuild/estimated_launch_dates_v2.sql
datapipeline.venue_inactive_history,datapipeline.out_of_network_venues,derived,https://github.com/classpass/analytics-db/blob/bfe45c28e92874f0159d646d2b92596b56f307da/derived/partnerships/supply_health_rebuild/venue_inactive_history.sql
datapipeline.out_of_network_venue_metadata,datapipeline.out_of_network_venues,UNK,https://github.com/classpass/classpass-api/blob/cba4b9490fba9e7ffa7a8ef4cd383f14f52ad328/migration_scripts/classtivity/scripts/1650656377824524_create_out_of_network_venue_metadata_table.sql

bi_fact_tables.out_of_network_schedule_segments,datapipeline.out_of_network_schedule_segments,derived,https://github.com/classpass/analytics-db/blob/c3440db29255684dbb955d61cc2cd3cdceb2f469/derived/partnerships/out_of_network/out_of_network_schedule_segments.sql
segments_public.segment_membership,bi_fact_tables.out_of_network_schedule_segments,UNK,https://github.com/search?q=org%3Aclasspass%20segment_membership&type=code

datapipeline.res_reservations_2019,datapipeline.res_reservations_historicals,derived,https://github.com/classpass/analytics-db/blob/bfe45c28e92874f0159d646d2b92596b56f307da/derived/res_reservations/res_reservations_2019.sql
datapipeline.res_reservations_2018,datapipeline.res_reservations_historicals,derived,https://github.com/classpass/analytics-db/blob/bfe45c28e92874f0159d646d2b92596b56f307da/derived/res_reservations/res_reservations_2018.sql
datapipeline.res_reservations_pre_2018,datapipeline.res_reservations_historicals,derived,https://github.com/classpass/analytics-db/blob/bfe45c28e92874f0159d646d2b92596b56f307da/derived/res_reservations/res_reservations_pre_2018.sql

datapipeline.view_content_tags_summary,datapipeline.content_tags_summary,derived,https://github.com/classpass/analytics-db/blob/bfe45c28e92874f0159d646d2b92596b56f307da/derived/tags_rebuild/view_content_tags_summary.sql
datapipeline.all_tags,datapipeline.content_tags_summary,derived,https://github.com/classpass/analytics-db/blob/bfe45c28e92874f0159d646d2b92596b56f307da/derived/tags_rebuild/all_tags.sql
datapipeline.classtivity_classes,datapipeline.content_tags_summary,source,https://github.com/search?q=org%3Aclasspass+classtivity_classes_timetable&type=code
datapipeline.classtivity_venues,datapipeline.content_tags_summary,source,https://github.com/search?q=org%3Aclasspass+classtivity_venues&type=code

bi_fact_tables.schedule_inventory_capacity,datapipeline.schedule_inventory_capacity,derived,https://github.com/classpass/analytics-db/blob/c3440db29255684dbb955d61cc2cd3cdceb2f469/derived/partnerships/supply_health_rebuild/schedule_inventory_capacity.sql

datapipeline.schedule_incremental_update,bi_fact_tables.schedule_inventory_capacity,derived,https://github.com/classpass/analytics-db/blob/c3440db29255684dbb955d61cc2cd3cdceb2f469/derived/partnerships/supply_health_rebuild/schedule_incremental_update.sql
inventory_public.schedule_capacity,bi_fact_tables.schedule_inventory_capacity,UNK,https://github.com/search?q=org%3Aclasspass%20schedule_capacity&type=code
bi_fact_tables.sched_max_reports_schedules,bi_fact_tables.schedule_inventory_capacity,derived,https://github.com/classpass/analytics-db/blob/bfe45c28e92874f0159d646d2b92596b56f307da/archive_derived/sched_max_reports_schedules.sql
